owner,name,month_start,month_end,time,intervention,time_after_intervention,time_issues_closed,merged,nonmerged,new_users_issues,new_users_pulls,users_issues,users_pulls,lang,pr_total,issues_total,pr_per_month,issues_per_month,total_number_pr_authors,total_number_issues_authors,agePulls,ageIssues
vercel,next.js,2018-12-24 21:45:44,2019-01-23 21:45:44,1,FALSE,0,0,66,7,62,15,108,36,JavaScript,11207,23776,73,157,1231,3954,40,40
vercel,next.js,2019-01-24 21:45:44,2019-02-23 21:45:44,2,FALSE,0,0.0,103,23,116,37,188,65,JavaScript,11207,23776,126,291,1231,3954,40,40
vercel,next.js,2019-02-24 21:45:44,2019-03-26 21:45:44,3,FALSE,0,0,169,24,122,36,176,57,JavaScript,11207,23776,193,353,1231,3954,40,40
vercel,next.js,2019-03-27 21:45:44,2019-04-26 21:45:44,4,FALSE,0,0,189,22,101,34,148,47,JavaScript,11207,23776,211,358,1231,3954,40,40
vercel,next.js,2019-04-27 21:45:44,2019-05-27 21:45:44,5,FALSE,0,0,97,25,106,27,152,48,JavaScript,11207,23776,122,252,1231,3954,40,40
vercel,next.js,2019-05-28 21:45:44,2019-06-27 21:45:44,6,FALSE,0,0.0,98,13,103,17,141,30,JavaScript,11207,23776,111,237,1231,3954,40,40
vercel,next.js,2019-06-28 21:45:44,2019-07-28 21:45:44,7,FALSE,0,0.0,143,34,173,39,251,65,JavaScript,11207,23776,177,444,1231,3954,40,40
vercel,next.js,2019-07-29 21:45:44,2019-08-28 21:45:44,8,FALSE,0,0,149,25,126,39,212,68,JavaScript,11207,23776,174,376,1231,3954,40,40
vercel,next.js,2019-08-29 21:45:44,2019-09-28 21:45:44,9,FALSE,0,0.0,120,38,120,30,181,50,JavaScript,11207,23776,158,327,1231,3954,40,40
vercel,next.js,2019-09-29 21:45:44,2019-10-29 21:45:44,10,FALSE,0,0,133,19,135,38,210,62,JavaScript,11207,23776,152,328,1231,3954,40,40
vercel,next.js,2019-10-30 21:45:44,2019-11-29 21:45:44,11,FALSE,0,0.0,123,22,111,22,181,43,JavaScript,11207,23776,145,313,1231,3954,40,40
vercel,next.js,2019-11-30 21:45:44,2019-12-30 21:45:44,12,FALSE,0,0.0,133,23,115,22,170,47,JavaScript,11207,23776,156,308,1231,3954,40,40
vercel,next.js,2019-12-31 21:45:44,2020-01-30 21:45:44,0,TRUE,0,0,206,40,165,62,249,89,JavaScript,11207,23776,246,447,1231,3954,40,40
vercel,next.js,2020-01-31 21:45:44,2020-02-29 21:45:44,13,TRUE,1,0,132,33,109,28,183,55,JavaScript,11207,23776,165,319,1231,3954,40,40
vercel,next.js,2020-03-01 21:45:44,2020-03-30 21:45:44,14,TRUE,2,0.0,166,60,173,75,267,109,JavaScript,11207,23776,226,431,1231,3954,40,40
vercel,next.js,2020-03-31 21:45:44,2020-04-29 21:45:44,15,TRUE,3,0,225,43,178,80,274,121,JavaScript,11207,23776,268,468,1231,3954,40,40
vercel,next.js,2020-04-30 21:45:44,2020-05-29 21:45:44,16,TRUE,4,0.0,297,61,163,76,284,129,JavaScript,11207,23776,358,572,1231,3954,40,40
vercel,next.js,2020-05-30 21:45:44,2020-06-28 21:45:44,17,TRUE,5,0.0,224,65,129,63,206,103,JavaScript,11207,23776,289,502,1231,3954,40,40
vercel,next.js,2020-06-29 21:45:44,2020-07-28 21:45:44,18,TRUE,6,1.0,183,46,143,67,228,101,JavaScript,11207,23776,229,463,1231,3954,40,40
vercel,next.js,2020-07-29 21:45:44,2020-08-27 21:45:44,19,TRUE,7,0,207,49,182,70,294,116,JavaScript,11207,23776,256,534,1231,3954,40,40
vercel,next.js,2020-08-28 21:45:44,2020-09-26 21:45:44,20,TRUE,8,1.0,113,39,128,58,204,95,JavaScript,11207,23776,152,308,1231,3954,40,40
vercel,next.js,2020-09-27 21:45:44,2020-10-26 21:45:44,21,TRUE,9,1,154,81,162,79,246,123,JavaScript,11207,23776,235,396,1231,3954,40,40
vercel,next.js,2020-10-27 21:45:44,2020-11-25 21:45:44,22,TRUE,10,1.0,203,73,234,71,366,128,JavaScript,11207,23776,276,640,1231,3954,40,40
vercel,next.js,2020-11-26 21:45:44,2020-12-25 21:45:44,23,TRUE,11,8,93,46,147,69,231,103,JavaScript,11207,23776,139,313,1231,3954,40,40
vercel,next.js,2020-12-26 21:45:44,2021-01-24 21:45:44,24,TRUE,12,1.0,162,70,205,66,299,112,JavaScript,11207,23776,232,483,1231,3954,40,40
tailwindlabs,tailwindcss,2019-02-12 23:31:07,2019-03-14 23:31:07,1,FALSE,0,0,75,16,14,3,20,7,JavaScript,1748,4036,91,113,173,627,29,29
tailwindlabs,tailwindcss,2019-03-15 23:31:07,2019-04-14 23:31:07,2,FALSE,0,0.0,27,6,38,8,46,12,JavaScript,1748,4036,33,68,173,627,29,29
tailwindlabs,tailwindcss,2019-04-15 23:31:07,2019-05-15 23:31:07,3,FALSE,0,0.0,35,6,29,4,38,11,JavaScript,1748,4036,41,74,173,627,29,29
tailwindlabs,tailwindcss,2019-05-16 23:31:07,2019-06-15 23:31:07,4,FALSE,0,0,13,3,20,3,29,7,JavaScript,1748,4036,16,39,173,627,29,29
tailwindlabs,tailwindcss,2019-06-16 23:31:07,2019-07-16 23:31:07,5,FALSE,0,1.0,19,8,24,8,31,11,JavaScript,1748,4036,27,54,173,627,29,29
tailwindlabs,tailwindcss,2019-07-17 23:31:07,2019-08-16 23:31:07,6,FALSE,0,1.0,17,4,16,4,24,6,JavaScript,1748,4036,21,44,173,627,29,29
tailwindlabs,tailwindcss,2019-08-17 23:31:07,2019-09-16 23:31:07,7,FALSE,0,0.0,19,5,15,3,22,7,JavaScript,1748,4036,24,42,173,627,29,29
tailwindlabs,tailwindcss,2019-09-17 23:31:07,2019-10-17 23:31:07,8,FALSE,0,0,18,2,20,3,23,5,JavaScript,1748,4036,20,39,173,627,29,29
tailwindlabs,tailwindcss,2019-10-18 23:31:07,2019-11-17 23:31:07,9,FALSE,0,0.0,21,3,21,3,29,7,JavaScript,1748,4036,24,48,173,627,29,29
tailwindlabs,tailwindcss,2019-11-18 23:31:07,2019-12-18 23:31:07,10,FALSE,0,0.0,17,2,14,2,17,4,JavaScript,1748,4036,19,32,173,627,29,29
tailwindlabs,tailwindcss,2019-12-19 23:31:07,2020-01-18 23:31:07,11,FALSE,0,0,29,3,14,1,23,6,JavaScript,1748,4036,32,49,173,627,29,29
tailwindlabs,tailwindcss,2020-01-19 23:31:07,2020-02-18 23:31:07,12,FALSE,0,1.0,27,4,30,5,39,9,JavaScript,1748,4036,31,62,173,627,29,29
